Entity,Code,Year,GDP (constant 2010 US$)
Algeria,DZA,2012,171466867482.163
Algeria,DZA,2013,176212451150.23398
Algeria,DZA,2014,182889354514.369
Algeria,DZA,2015,189772334940.908
Algeria,DZA,2016,196034821993.495
Algeria,DZA,2017,199367413967.446
American Samoa,ASM,2002,623365638.76652
American Samoa,ASM,2003,628440528.634361
American Samoa,ASM,2004,631823788.546256
American Samoa,ASM,2005,629286343.612335
American Samoa,ASM,2006,603066079.295154
American Samoa,ASM,2007,614907488.986784
American Samoa,ASM,2008,598837004.4052861
American Samoa,ASM,2009,573462555.066079
American Samoa,ASM,2010,576000000.0
American Samoa,ASM,2011,577691629.9559469
American Samoa,ASM,2012,552317180.61674
American Samoa,ASM,2013,537092511.013216
American Samoa,ASM,2014,542167400.881057
American Samoa,ASM,2015,548933920.704846
American Samoa,ASM,2016,534555066.07929504
Andorra,AND,1970,1022930411.1163
Andorra,AND,1971,1070491206.24643
Andorra,AND,1972,1157733493.6236
Andorra,AND,1973,1247903187.0719302
Andorra,AND,1974,1318020243.18285
Andorra,AND,1975,1325166623.5250401
Andorra,AND,1976,1368947306.81745
Andorra,AND,1977,1407805910.58157
Andorra,AND,1978,1428402113.57242
Andorra,AND,1979,1428995717.42599
Andorra,AND,1980,1460558340.33864
Andorra,AND,1981,1458623472.81247
Andorra,AND,1982,1476804647.19237
Andorra,AND,1983,1502945836.7576401
Andorra,AND,1984,1529768711.11779
Andorra,AND,1985,1565281267.29392
Andorra,AND,1986,1616204903.65455
Andorra,AND,1987,1705857764.18649
Andorra,AND,1988,1792759723.2573102
Andorra,AND,1989,1879296849.01282
Andorra,AND,1990,1950360346.83369
Andorra,AND,1991,2000016577.2760105
Andorra,AND,1992,2018600970.4398198
Andorra,AND,1993,1997779424.184689
Andorra,AND,1994,2045390257.51495
Andorra,AND,1995,2101791877.24365
Andorra,AND,1996,2199519738.0030303
Andorra,AND,1997,2398964977.7997603
Andorra,AND,1998,2475606878.11635
Andorra,AND,1999,2577084005.24761
Andorra,AND,2000,2668012839.88281
Andorra,AND,2001,2789321202.45229
Andorra,AND,2002,2969818586.6794896
Andorra,AND,2003,3331207491.64175
Andorra,AND,2004,3585973903.04456
Andorra,AND,2005,3851227772.8302603
Andorra,AND,2006,4025933064.029
Andorra,AND,2007,4027543882.8002295
Andorra,AND,2008,3681577710.754
Andorra,AND,2009,3545703433.7638297
Andorra,AND,2010,3355695364.23841
Andorra,AND,2011,3199771534.4574103
Andorra,AND,2012,3148088242.81882
Andorra,AND,2013,3159158337.7785397
Andorra,AND,2014,3231113955.01675
Andorra,AND,2015,3258326510.4285803
Andorra,AND,2016,3319880351.13342
Andorra,AND,2017,3382068237.5248103
Angola,AGO,1980,20838796164.2892
Angola,AGO,1981,19921888878.9602
Angola,AGO,1982,19921888878.9602
Angola,AGO,1983,20758608496.4292
Angola,AGO,1984,22004125455.5086
Angola,AGO,1985,22774269734.128
Angola,AGO,1986,23434723953.2938
Angola,AGO,1987,24391504825.9617
Angola,AGO,1988,25886433442.242
Angola,AGO,1989,25897207754.26
Angola,AGO,1990,25003728530.4398
Angola,AGO,1991,25251605316.555
Angola,AGO,1992,23777345709.6714
Angola,AGO,1993,18074725634.6424
Angola,AGO,1994,18316811901.127
Angola,AGO,1995,21064333691.2228
Angola,AGO,1996,23917364932.2628
Angola,AGO,1997,25657180391.1393
Angola,AGO,1998,26860796296.8363
Angola,AGO,1999,27446761809.8841
Angola,AGO,2000,28285157247.5007
Angola,AGO,2001,29474830552.3105
Angola,AGO,2002,33502768495.2418
Angola,AGO,2003,35028498785.4786
Angola,AGO,2004,38614841378.0661
Angola,AGO,2005,46688056705.4167
Angola,AGO,2006,55553668228.2613
Angola,AGO,2007,68436340152.8433
Angola,AGO,2008,77892256138.3256
Angola,AGO,2009,79771725943.3186
Angola,AGO,2010,82526143645.0623
Angola,AGO,2011,85722654097.5388
Angola,AGO,2012,90161025044.2793
Angola,AGO,2013,96330488415.3587
Angola,AGO,2014,100861846285.433
Angola,AGO,2015,103887446990.918
Angola,AGO,2016,103042328743.665
Angola,AGO,2017,103785984479.995
Antigua and Barbuda,ATG,1977,322802913.514263
Antigua and Barbuda,ATG,1978,336953370.402877
Antigua and Barbuda,ATG,1979,364178334.650562
Antigua and Barbuda,ATG,1980,393900513.861076
Antigua and Barbuda,ATG,1981,408927490.924108
Antigua and Barbuda,ATG,1982,408583955.63961
Antigua and Barbuda,ATG,1983,430500438.419011
Antigua and Barbuda,ATG,1984,474260812.686381
Antigua and Barbuda,ATG,1985,510512315.6093389
Antigua and Barbuda,ATG,1986,569189724.053971
Antigua and Barbuda,ATG,1987,606906345.335272
Antigua and Barbuda,ATG,1988,638546003.01115
Antigua and Barbuda,ATG,1989,672084214.896725
Antigua and Barbuda,ATG,1990,692325010.739955
Antigua and Barbuda,ATG,1991,707396047.7767942
Antigua and Barbuda,ATG,1992,715590002.022208
Antigua and Barbuda,ATG,1993,753373665.6884661
Antigua and Barbuda,ATG,1994,803670361.916
Antigua and Barbuda,ATG,1995,768634400.7892259
Antigua and Barbuda,ATG,1996,819401304.725953
Antigua and Barbuda,ATG,1997,864231831.157892
Antigua and Barbuda,ATG,1998,905121350.289817
Antigua and Barbuda,ATG,1999,938682296.1280428
Antigua and Barbuda,ATG,2000,1001496497.1698301
Antigua and Barbuda,ATG,2001,951881612.473067
Antigua and Barbuda,ATG,2002,961629840.268185
Antigua and Barbuda,ATG,2003,1019884496.5769199
Antigua and Barbuda,ATG,2004,1078389764.69155
Antigua and Barbuda,ATG,2005,1147540485.65063
Antigua and Barbuda,ATG,2006,1293605261.82583
Antigua and Barbuda,ATG,2007,1413385613.40099
Antigua and Barbuda,ATG,2008,1412959714.1241
Antigua and Barbuda,ATG,2009,1241885105.4482698
Antigua and Barbuda,ATG,2010,1152469074.07407
Antigua and Barbuda,ATG,2011,1128507777.84862
Antigua and Barbuda,ATG,2012,1168080135.6583
Antigua and Barbuda,ATG,2013,1166866043.2033598
Antigua and Barbuda,ATG,2014,1226398852.85
Antigua and Barbuda,ATG,2015,1276193331.63173
Antigua and Barbuda,ATG,2016,1344373697.9233
Antigua and Barbuda,ATG,2017,1389236109.8626
Argentina,ARG,1960,115573868508.15
Argentina,ARG,1961,121847036500.547
Argentina,ARG,1962,120808873523.837
Argentina,ARG,1963,114396100733.294
Argentina,ARG,1964,125984766250.65
Argentina,ARG,1965,139300642138.499
Argentina,ARG,1966,138381639345.114
Argentina,ARG,1967,142798776600.374
Argentina,ARG,1968,149685248718.023
Argentina,ARG,1969,164174071297.927
Argentina,ARG,1970,169174227931.948
Argentina,ARG,1971,178746327507.29602
Argentina,ARG,1972,181657062226.624
Argentina,ARG,1973,186764812014.466
Argentina,ARG,1974,197100011389.72305
Argentina,ARG,1975,197044011131.933
Argentina,ARG,1976,193067167388.744
Argentina,ARG,1977,206454730042.606
Argentina,ARG,1978,197151622246.26886
Argentina,ARG,1979,217305966255.665
Argentina,ARG,1980,226327993530.555
Argentina,ARG,1981,213450998966.355
Argentina,ARG,1982,202869851896.9189
Argentina,ARG,1983,210731309048.029
Argentina,ARG,1984,215392208305.706
Argentina,ARG,1985,199051096781.772
Argentina,ARG,1986,214727922914.33
Argentina,ARG,1987,220976490720.555
Argentina,ARG,1988,215326332052.416
Argentina,ARG,1989,199185061978.0861
Argentina,ARG,1990,194406693571.09
Argentina,ARG,1991,219037458045.206
Argentina,ARG,1992,245192227489.582
Argentina,ARG,1993,259675534967.5489
Argentina,ARG,1994,274830720366.62305
Argentina,ARG,1995,267011210297.95105
Argentina,ARG,1996,281768091694.844
Argentina,ARG,1997,304622433397.25104
Argentina,ARG,1998,316350941905.026
Argentina,ARG,1999,305641016669.195
Argentina,ARG,2000,303229512290.352
Argentina,ARG,2001,289860609223.184
Argentina,ARG,2002,258281789127.305
Argentina,ARG,2003,281106256200.528
Argentina,ARG,2004,306488951656.956
Argentina,ARG,2005,333618311350.415
Argentina,ARG,2006,360465082297.96
Argentina,ARG,2007,392934518437.813
Argentina,ARG,2008,408876787794.80896
Argentina,ARG,2009,384677312577.801
Argentina,ARG,2010,423627422092.49
Argentina,ARG,2011,449061807872.401
Argentina,ARG,2012,444452545623.356
Argentina,ARG,2013,455143068397.581
Argentina,ARG,2014,443707073929.401
Argentina,ARG,2015,455825423287.839
Argentina,ARG,2016,447517812725.52
Argentina,ARG,2017,460334377833.471
Armenia,ARM,1990,6357857589.72256
Armenia,ARM,1991,5613988348.086061
Armenia,ARM,1992,3267341064.55077
Armenia,ARM,1993,2979815090.27954
Armenia,ARM,1994,3140725187.90155
Armenia,ARM,1995,3357435176.13862
Armenia,ARM,1996,3554362204.25115
Armenia,ARM,1997,3672405405.76911
Armenia,ARM,1998,3940490999.95859
Armenia,ARM,1999,4070527203.11312
Armenia,ARM,2000,4310688308.03981
Armenia,ARM,2001,4722645335.980721
Armenia,ARM,2002,5345387542.90141
Armenia,ARM,2003,6095922452.64279
Armenia,ARM,2004,6734033974.851629
Armenia,ARM,2005,7667755681.51717
Armenia,ARM,2006,8679746345.9219
Armenia,ARM,2007,9873142200.518793
Armenia,ARM,2008,10554389012.5207
Armenia,ARM,2009,9060944166.21842
Armenia,ARM,2010,9260284937.797821
Armenia,ARM,2011,9695518329.74638
Armenia,ARM,2012,10393595649.8063
Armenia,ARM,2013,10736584306.437
Armenia,ARM,2014,11123101341.572
Armenia,ARM,2015,11479040584.7388
Armenia,ARM,2016,11501998665.6524
Armenia,ARM,2017,12364648565.4688
Aruba,ABW,2010,2467703910.61453
Australia,AUS,1960,199233335311.047
Australia,AUS,1961,204185489129.557
Australia,AUS,1962,206832708442.16
Australia,AUS,1963,219685868796.2589
Australia,AUS,1964,235017138629.724
Australia,AUS,1965,249079271685.863
Australia,AUS,1966,255013563382.02106
Australia,AUS,1967,271085501763.945
Australia,AUS,1968,284899661266.538
Australia,AUS,1969,304968445514.788
Australia,AUS,1970,326841338993.587
Australia,AUS,1971,339927838396.432
Australia,AUS,1972,353228164174.95795
Australia,AUS,1973,362460910647.29297
Australia,AUS,1974,377331193579.577
Australia,AUS,1975,382426440333.90295
Australia,AUS,1976,392323430718.522
Australia,AUS,1977,406436784541.459
Australia,AUS,1978,410081589264.555
Australia,AUS,1979,426663296230.325
Australia,AUS,1980,439609141781.4871
Australia,AUS,1981,454282671927.023
Australia,AUS,1982,469401741440.896
Australia,AUS,1983,458980347967.632
Australia,AUS,1984,480006879252.198
Australia,AUS,1985,505203431376.55
Australia,AUS,1986,525690112039.628
Australia,AUS,1987,538860353331.0471
Australia,AUS,1988,569473298287.268
Australia,AUS,1989,591498228010.3721
Australia,AUS,1990,612582484286.0911
Australia,AUS,1991,610208442396.41
Australia,AUS,1992,612909321559.945
Australia,AUS,1993,637665212484.2261
Australia,AUS,1994,663034939582.038
Australia,AUS,1995,688424992380.96
Australia,AUS,1996,715126459415.518
Australia,AUS,1997,743491381828.9409
Australia,AUS,1998,777519044571.69
Australia,AUS,1999,816535447394.947
Australia,AUS,2000,848732984009.725
Australia,AUS,2001,865139889945.9459
Australia,AUS,2002,899771632525.692
Australia,AUS,2003,926636518197.177
Australia,AUS,2004,963712223078.423
Australia,AUS,2005,994457691605.8828
Australia,AUS,2006,1022642934821.49
Australia,AUS,2007,1061271523267.56
Australia,AUS,2008,1100090360276.03
Australia,AUS,2009,1121242097879.43
Australia,AUS,2010,1144260547872.81
Australia,AUS,2011,1172307576320.87
Australia,AUS,2012,1217933084117.14
Australia,AUS,2013,1250080212993.17
Australia,AUS,2014,1282061484148.13
Australia,AUS,2015,1312204498894.69
Australia,AUS,2016,1349304594617.26
Australia,AUS,2017,1375718249724.1
Austria,AUT,1960,91836703339.5229
Austria,AUT,1961,96922600975.7382
Austria,AUT,1962,99489765786.6089
Austria,AUT,1963,103606918511.136
Austria,AUT,1964,109952172697.415
Austria,AUT,1965,113778700633.421
Austria,AUT,1966,120199075025.325
Austria,AUT,1967,123814720654.546
Austria,AUT,1968,129352102232.948
Austria,AUT,1969,137470068345.607
Austria,AUT,1970,146159747322.549
Austria,AUT,1971,153635772670.608
Austria,AUT,1972,163173267863.472
Austria,AUT,1973,171153151159.323
Austria,AUT,1974,177900244807.952
Austria,AUT,1975,177253158036.87698
Austria,AUT,1976,185368597102.924
Austria,AUT,1977,194785286243.434
Austria,AUT,1978,194374964316.0
Austria,AUT,1979,204787047701.607
Austria,AUT,1980,208332905591.186
Austria,AUT,1981,208032292628.472
Austria,AUT,1982,212216351195.68
Austria,AUT,1983,218525730110.73
Austria,AUT,1984,218637779730.792
Austria,AUT,1985,224100834862.9789
Austria,AUT,1986,229258275343.493
Austria,AUT,1987,232369695258.04105
Austria,AUT,1988,240028322052.062
Austria,AUT,1989,249358402441.892
Austria,AUT,1990,260194624813.073
Austria,AUT,1991,269149554294.002
Austria,AUT,1992,274784266755.542
Austria,AUT,1993,276231856329.01
Austria,AUT,1994,282867273580.389
Austria,AUT,1995,290414126234.635
Austria,AUT,1996,297237508056.37
Austria,AUT,1997,303460462050.854
Austria,AUT,1998,314328689139.021
Austria,AUT,1999,325507255365.782
Austria,AUT,2000,336495475309.688
Austria,AUT,2001,340759446602.411
Austria,AUT,2002,346387257223.224
Austria,AUT,2003,349648400806.147
Austria,AUT,2004,359211698966.039
Austria,AUT,2005,367272649488.2029
Austria,AUT,2006,379958397501.957
Austria,AUT,2007,394121024471.145
Austria,AUT,2008,399876867204.146
Austria,AUT,2009,384823180705.02295
Austria,AUT,2010,391892746544.69
Austria,AUT,2011,403346978477.779
Austria,AUT,2012,406091530301.534
Austria,AUT,2013,406195100294.014
Austria,AUT,2014,409561376690.276
Austria,AUT,2015,414033189912.921
Austria,AUT,2016,420040461384.701
Austria,AUT,2017,432789834749.335
Azerbaijan,AZE,1990,22325675014.6271
Azerbaijan,AZE,1991,22169395298.4412
Azerbaijan,AZE,1992,17159111873.5004
Azerbaijan,AZE,1993,13195357108.1839
Azerbaijan,AZE,1994,10595871755.3639
Azerbaijan,AZE,1995,9345558792.935879
Azerbaijan,AZE,1996,9467051075.91296
Azerbaijan,AZE,1997,10016140087.9139
Azerbaijan,AZE,1998,11017754124.5694
Azerbaijan,AZE,1999,11833067993.8748
Azerbaijan,AZE,2000,13146538452.8659
Azerbaijan,AZE,2001,14448045759.6996
Azerbaijan,AZE,2002,15979538494.8706
Azerbaijan,AZE,2003,17769246844.1912
Azerbaijan,AZE,2004,19581710093.0734
Azerbaijan,AZE,2005,24751281715.9126
Azerbaijan,AZE,2006,33290473786.6938
Azerbaijan,AZE,2007,41629404406.7868
Azerbaijan,AZE,2008,46113899018.7892
Azerbaijan,AZE,2009,50453518392.5171
Azerbaijan,AZE,2010,52902703376.1056
Azerbaijan,AZE,2011,52937578302.4383
Azerbaijan,AZE,2012,54102205124.8452
Azerbaijan,AZE,2013,57238335961.2495
Azerbaijan,AZE,2014,58383102680.4744
Azerbaijan,AZE,2015,59025316698.5035
Azerbaijan,AZE,2016,57195531761.5917
Azerbaijan,AZE,2017,57252727186.9126
Bahamas,BHS,1960,1942538097.6150105
Bahamas,BHS,1961,2149750529.0866
Bahamas,BHS,1962,2374441850.10686
Bahamas,BHS,1963,2624329421.19867
Bahamas,BHS,1964,2899925138.9633603
Bahamas,BHS,1965,3202259632.40815
Bahamas,BHS,1966,3492766343.41697
Bahamas,BHS,1967,3828006034.15819
Bahamas,BHS,1968,4150391651.5629797
Bahamas,BHS,1969,4523165825.37743
Bahamas,BHS,1970,4267622809.0661297
Bahamas,BHS,1971,4337036067.07757
Bahamas,BHS,1972,4185355346.2604795
Bahamas,BHS,1973,4502084992.61466
Bahamas,BHS,1974,3747795359.80246
Bahamas,BHS,1975,3193004478.75685
Bahamas,BHS,1976,3358567667.1353197
Bahamas,BHS,1977,3666042159.8381796
Bahamas,BHS,1978,4185869346.1863
Bahamas,BHS,1979,5280026115.107579
Bahamas,BHS,1980,5622978696.80712
Bahamas,BHS,1981,5104179904.68398
Bahamas,BHS,1982,5446103697.7852
Bahamas,BHS,1983,5642002872.57775
Bahamas,BHS,1984,6441539485.048161
Bahamas,BHS,1985,6752613028.89395
Bahamas,BHS,1986,6873957500.38138
Bahamas,BHS,1987,7079112091.74079
Bahamas,BHS,1988,7242618886.04269
Bahamas,BHS,1989,7729853744.61442
Bahamas,BHS,1990,7606466024.828559
Bahamas,BHS,1991,7288379997.0845
Bahamas,BHS,1992,7009556990.78308
Bahamas,BHS,1993,7031132893.551121
Bahamas,BHS,1994,7252537375.65963
Bahamas,BHS,1995,7570107957.44229
Bahamas,BHS,1996,7889833789.55325
Bahamas,BHS,1997,8052541057.627841
Bahamas,BHS,1998,8432337724.51058
Bahamas,BHS,1999,9034753608.33579
Bahamas,BHS,2000,9409627491.5515
Bahamas,BHS,2001,9656694580.554659
Bahamas,BHS,2002,9917865835.46098
Bahamas,BHS,2003,9792432526.23075
Bahamas,BHS,2004,9878884030.66906
Bahamas,BHS,2005,10214307272.5531
Bahamas,BHS,2006,10471385975.1648
Bahamas,BHS,2007,10622859247.2052
Bahamas,BHS,2008,10375987506.7603
Bahamas,BHS,2009,9942763009.20555
Bahamas,BHS,2010,10095760000.0
Bahamas,BHS,2011,10157636655.8148
Bahamas,BHS,2012,10471171091.7508
Bahamas,BHS,2013,10428194408.9434
Bahamas,BHS,2014,10412761872.8443
Bahamas,BHS,2015,10521571019.7704
Bahamas,BHS,2016,10343803831.7942
Bahamas,BHS,2017,10492464084.5963
Bahrain,BHR,1980,7624221103.47913
Bahrain,BHR,1981,7218864341.89657
Bahrain,BHR,1982,6673391235.87742
Bahrain,BHR,1983,7098911806.391391
Bahrain,BHR,1984,7454116226.230471
Bahrain,BHR,1985,7099429359.04756
Bahrain,BHR,1986,7183415176.43469
Bahrain,BHR,1987,7930419191.027709
Bahrain,BHR,1988,8485547872.1663
Bahrain,BHR,1989,8516435872.133121
Bahrain,BHR,1990,8894395055.67055
Bahrain,BHR,1991,9893235511.911829
Bahrain,BHR,1992,10555092806.0632
Bahrain,BHR,1993,11913533954.1921
Bahrain,BHR,1994,11883749942.4451
Bahrain,BHR,1995,12350780310.4502
Bahrain,BHR,1996,12858398136.4749
Bahrain,BHR,1997,13256108363.4132
Bahrain,BHR,1998,13891076323.6746
Bahrain,BHR,1999,14488392461.1778
Bahrain,BHR,2000,15256276507.3657
Bahrain,BHR,2001,15636315475.986
Bahrain,BHR,2002,16201435104.2376
Bahrain,BHR,2003,17177401647.9676
Bahrain,BHR,2004,18376546950.2211
Bahrain,BHR,2005,19620444333.8462
Bahrain,BHR,2006,20889606053.0421
Bahrain,BHR,2007,22621864899.6304
Bahrain,BHR,2008,24034629395.827003
Bahrain,BHR,2009,24645054296.3673
Bahrain,BHR,2010,25713271276.5957
Bahrain,BHR,2011,26223377131.9619
Bahrain,BHR,2012,27202099523.9053
Bahrain,BHR,2013,28675502255.2549
Bahrain,BHR,2014,29922841390.6393
Bahrain,BHR,2015,30779223483.5898
Bahrain,BHR,2016,31769062885.3112
Bahrain,BHR,2017,33003237140.6953
Bangladesh,BGD,1960,17862545310.7226
Bangladesh,BGD,1961,18944687033.1706
Bangladesh,BGD,1962,19977746684.2347
Bangladesh,BGD,1963,19886669277.8428
Bangladesh,BGD,1964,22064814112.6956
Bangladesh,BGD,1965,22419232005.0757
Bangladesh,BGD,1966,22994691542.7769
Bangladesh,BGD,1967,22563342420.6917
Bangladesh,BGD,1968,24704480424.0584
Bangladesh,BGD,1969,25006087027.2168
Bangladesh,BGD,1970,26411392182.3557
Bangladesh,BGD,1971,24964184430.4711
Bangladesh,BGD,1972,21475757025.4792
Bangladesh,BGD,1973,22189972024.4145
Bangladesh,BGD,1974,24318424444.0714
Bangladesh,BGD,1975,23324235189.0411
Bangladesh,BGD,1976,24644704390.5094
Bangladesh,BGD,1977,25303471152.2294
Bangladesh,BGD,1978,27093397642.2551
Bangladesh,BGD,1979,28394323597.912006
Bangladesh,BGD,1980,28626913390.8931
Bangladesh,BGD,1981,30697768187.1802
Bangladesh,BGD,1982,31352959198.5596
Bangladesh,BGD,1983,32569782092.7714
Bangladesh,BGD,1984,34134209697.98
Bangladesh,BGD,1985,35274979988.1662
Bangladesh,BGD,1986,36747139850.6845
Bangladesh,BGD,1987,38133389635.1624
Bangladesh,BGD,1988,39054790276.5184
Bangladesh,BGD,1989,40162611478.0515
Bangladesh,BGD,1990,42420657179.7908
Bangladesh,BGD,1991,43899113723.2774
Bangladesh,BGD,1992,46288404442.7889
Bangladesh,BGD,1993,48469311189.3945
Bangladesh,BGD,1994,50354828679.5772
Bangladesh,BGD,1995,52933639390.898
Bangladesh,BGD,1996,55327785139.4964
Bangladesh,BGD,1997,57811945426.5395
Bangladesh,BGD,1998,60804885377.3372
Bangladesh,BGD,1999,63644568604.0114
Bangladesh,BGD,2000,67013463192.5145
Bangladesh,BGD,2001,70415929567.4442
Bangladesh,BGD,2002,73115059421.307
Bangladesh,BGD,2003,76580396941.519
Bangladesh,BGD,2004,80592852042.2251
Bangladesh,BGD,2005,85860356477.7026
Bangladesh,BGD,2006,91588846353.8372
Bangladesh,BGD,2007,98053769823.2911
Bangladesh,BGD,2008,103950517391.466
Bangladesh,BGD,2009,109194950718.059
Bangladesh,BGD,2010,115279077465.226
Bangladesh,BGD,2011,122731159566.449
Bangladesh,BGD,2012,130734992458.51
Bangladesh,BGD,2013,138596866823.802
Bangladesh,BGD,2014,146997351891.58
Bangladesh,BGD,2015,156629549345.307
Bangladesh,BGD,2016,167771337874.21802
Bangladesh,BGD,2017,179992151721.964
Barbados,BRB,1974,2653698663.50013
Barbados,BRB,1975,2603278388.89363
Barbados,BRB,1976,2717822638.00494
Barbados,BRB,1977,2815664252.9731197
Barbados,BRB,1978,2953631801.3688
Barbados,BRB,1979,3186968713.67695
Barbados,BRB,1980,3327195337.07873
Barbados,BRB,1981,3263978625.6742396
Barbados,BRB,1982,3104043673.0162
Barbados,BRB,1983,3119563891.38128
Barbados,BRB,1984,3231868191.470989
Barbados,BRB,1985,3267418741.57717
Barbados,BRB,1986,3434057097.3976197
Barbados,BRB,1987,3523342581.92995
Barbados,BRB,1988,3646659572.2975
Barbados,BRB,1989,3777939316.9002094
Barbados,BRB,1990,3653267319.44252
Barbados,BRB,1991,3510789893.98424
Barbados,BRB,1992,3265034601.40536
Barbados,BRB,1993,3304215016.62221
Barbados,BRB,1994,3429775187.25385
Barbados,BRB,1995,3498370690.99894
Barbados,BRB,1996,3638305518.6389
Barbados,BRB,1997,3809305878.01493
Barbados,BRB,1998,3950250195.5014896
Barbados,BRB,1999,3966051196.2834797
Barbados,BRB,2000,4057270373.79799
Barbados,BRB,2001,3959895884.82684
Barbados,BRB,2002,3991575051.90545
Barbados,BRB,2003,4079389703.04739
Barbados,BRB,2004,4136501158.89004
Barbados,BRB,2005,4301961205.24564
Barbados,BRB,2006,4547172993.94466
Barbados,BRB,2007,4629022107.83565
Barbados,BRB,2008,4633651129.9435
Barbados,BRB,2009,4448305084.74574
Barbados,BRB,2010,4461650000.0
Barbados,BRB,2011,4492881549.9999895
Barbados,BRB,2012,4506360194.64997
Barbados,BRB,2013,4506360194.64997
Barbados,BRB,2014,4506360194.64997
Barbados,BRB,2015,4546917436.40184
Barbados,BRB,2016,4637855785.12986
Barbados,BRB,2017,4715357332.99045
Belarus,BLR,1990,31610993224.6745
Belarus,BLR,1991,31231662693.7653
Belarus,BLR,1992,28233422682.3594
Belarus,BLR,1993,26087682006.1187
Belarus,BLR,1994,23035422168.0158
Belarus,BLR,1995,20639738139.7908
