,destination,passenger,weather,temperature,time,coupon,HoursToCouponExpiration,gender,age,maritalStatus,has_children,education,occupation,AvgAnnualIncome,AvgMonthlyVisitsToBar,AvgMonthlyVisitsToCoffeeHouse,AvgMonthlyVisitsToCarryAway,AvgMonthlyVisitsToRestaurantLessThan20,AvgMonthlyVisitsToRestaurant20To50,AtLeast5MinutesDriveToRedeem,AtLeast15MinutesDriveToRedeem,AtLeast25MinutesDriveToRedeem,CanRedeemOnTheWay,Y
50,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,0,0,0
51,Nowhere,Friend,Sunny,80,2PM,RestaurantLessThan20,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,0,0,1
52,Nowhere,Friend,Sunny,80,6PM,CoffeeHouse,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,0,0
53,Nowhere,Friend,Sunny,80,6PM,RestaurantLessThan20,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,0,0,1
54,Nowhere,Friend,Sunny,55,2PM,CoffeeHouse,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,0,1
55,Nowhere,Friend,Sunny,55,2PM,CarryAway,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,0,0,1
56,Nowhere,None,Sunny,55,10AM,CoffeeHouse,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,0,1
57,Home,None,Sunny,55,6PM,Bar,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,1,0
58,Home,None,Sunny,55,6PM,Restaurant20To50,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,0,0,0
59,Home,None,Sunny,80,6PM,CoffeeHouse,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,0,0
60,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,1,0,0
61,Work,None,Sunny,55,7AM,Bar,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,1,0,0
62,Work,None,Sunny,80,7AM,Restaurant20To50,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,0,0,0
63,Work,None,Sunny,80,7AM,CarryAway,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,1,1
64,Work,None,Sunny,55,7AM,RestaurantLessThan20,24.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,0,0,0,0
65,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,46.0,Single,0,Some College,Student,18749.5,0.0,6.0,2.0,2.0,0.0,1,1,0,0,0
66,Nowhere,None,Sunny,55,2PM,RestaurantLessThan20,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,0,0,0,1
67,Nowhere,Friend,Sunny,80,10AM,CoffeeHouse,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,0,0,0,1
68,Nowhere,Friend,Sunny,80,10AM,CarryAway,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
69,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
70,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
71,Nowhere,Friend,Sunny,80,6PM,RestaurantLessThan20,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
72,Nowhere,Friend,Sunny,55,2PM,CarryAway,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
73,Nowhere,Kid,Sunny,80,10AM,RestaurantLessThan20,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
74,Nowhere,Kid,Sunny,80,10AM,CarryAway,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
75,Nowhere,Kid,Sunny,80,10AM,Bar,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
76,Nowhere,Kid,Sunny,80,2PM,RestaurantLessThan20,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,0,0,0,1
77,Nowhere,Kid,Sunny,55,2PM,RestaurantLessThan20,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
78,Nowhere,Kid,Sunny,55,6PM,CoffeeHouse,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,0
79,Home,None,Sunny,55,6PM,Bar,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,0,0,1,1
80,Home,None,Sunny,55,6PM,Restaurant20To50,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,0
81,Home,None,Sunny,80,6PM,CoffeeHouse,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,0,0,0,1
82,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,1,0,0
83,Work,None,Sunny,55,7AM,Bar,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,1,0,1
84,Work,None,Sunny,80,7AM,Restaurant20To50,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,1
85,Work,None,Sunny,80,7AM,CarryAway,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,0,0,1,0
86,Work,None,Sunny,55,7AM,RestaurantLessThan20,24.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,0,0,0,1
87,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,46.0,Married,1,Bachelors,Education&Training&Library,81249.5,0.0,2.0,2.0,2.0,0.0,1,1,0,0,0
88,Nowhere,None,Sunny,55,2PM,RestaurantLessThan20,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,0,0
89,Nowhere,Friend,Sunny,80,10AM,CoffeeHouse,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,0,1
90,Nowhere,Friend,Sunny,80,10AM,Bar,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,0,1
91,Nowhere,Friend,Sunny,80,10AM,CarryAway,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,0,0,1
92,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,0,1
93,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,0,0,1
94,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,0,0,1
95,Nowhere,Friend,Sunny,80,2PM,RestaurantLessThan20,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,0,0,1
96,Nowhere,Friend,Sunny,80,6PM,CoffeeHouse,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,0,1
97,Nowhere,Friend,Sunny,80,6PM,RestaurantLessThan20,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,0,0,1
98,Nowhere,Friend,Sunny,55,2PM,CoffeeHouse,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,0,1
99,Nowhere,Friend,Sunny,55,2PM,CarryAway,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,0,0,1
100,Nowhere,None,Sunny,55,10AM,CoffeeHouse,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,0,1
101,Home,None,Sunny,55,6PM,Bar,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,1,1
102,Home,None,Sunny,55,6PM,Restaurant20To50,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,0,0,1
103,Home,None,Sunny,80,6PM,CoffeeHouse,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,0,1
104,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,1,0,1
105,Work,None,Sunny,55,7AM,Bar,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,1,0,0
106,Work,None,Sunny,80,7AM,Restaurant20To50,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,0,0,1
107,Work,None,Sunny,80,7AM,CarryAway,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,1,1
108,Work,None,Sunny,55,7AM,RestaurantLessThan20,24.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,0,0,0,1
109,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,21.0,Single,0,Associates,Student,18749.5,2.0,0.0,2.0,0.0,2.0,1,1,0,0,1
110,Nowhere,None,Sunny,55,2PM,RestaurantLessThan20,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,0,1
111,Nowhere,Friend,Sunny,80,10AM,CoffeeHouse,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,0,1
112,Nowhere,Friend,Sunny,80,10AM,Bar,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,0,1
113,Nowhere,Friend,Sunny,80,10AM,CarryAway,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,0,0,0
114,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,0,1
115,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,0,0,0
116,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,0,0,1
117,Nowhere,Friend,Sunny,80,2PM,RestaurantLessThan20,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,0,0,1
118,Nowhere,Friend,Sunny,80,6PM,CoffeeHouse,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,0,0
119,Nowhere,Friend,Sunny,80,6PM,RestaurantLessThan20,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,0,0,0
120,Nowhere,Friend,Sunny,55,2PM,CoffeeHouse,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,0,0
121,Nowhere,Friend,Sunny,55,2PM,CarryAway,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,0,0,1
122,Nowhere,None,Sunny,55,10AM,CoffeeHouse,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,0,0
123,Home,None,Sunny,55,6PM,Bar,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,1,1
124,Home,None,Sunny,55,6PM,Restaurant20To50,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,0,0,0
125,Home,None,Sunny,80,6PM,CoffeeHouse,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,0,0
126,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,1,0,1
127,Work,None,Sunny,55,7AM,Bar,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,1,0,1
128,Work,None,Sunny,80,7AM,Restaurant20To50,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,0,0,0
129,Work,None,Sunny,80,7AM,CarryAway,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,1,1
130,Work,None,Sunny,55,7AM,RestaurantLessThan20,24.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,0,0,0,1
131,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Male,26.0,Together,0,Bachelors,Student,56249.5,2.0,8.0,6.0,2.0,0.0,1,1,0,0,1
132,Nowhere,None,Sunny,55,2PM,RestaurantLessThan20,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,0,0,0,1
133,Nowhere,Friend,Sunny,80,10AM,CoffeeHouse,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,0,0,0,1
134,Nowhere,Friend,Sunny,80,10AM,CarryAway,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,1
135,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,1
136,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,1
137,Nowhere,Friend,Sunny,80,6PM,RestaurantLessThan20,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,1
138,Nowhere,Friend,Sunny,55,2PM,CarryAway,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,1
139,Nowhere,Kid,Sunny,80,10AM,RestaurantLessThan20,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,1
140,Nowhere,Kid,Sunny,80,10AM,CarryAway,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,1
141,Nowhere,Kid,Sunny,80,10AM,Bar,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,0
142,Nowhere,Kid,Sunny,80,2PM,RestaurantLessThan20,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,0,0,0,1
143,Nowhere,Kid,Sunny,55,2PM,RestaurantLessThan20,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,1
144,Nowhere,Kid,Sunny,55,6PM,CoffeeHouse,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,0
145,Home,None,Sunny,55,6PM,Bar,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,0,0,1,0
146,Home,None,Sunny,55,6PM,Restaurant20To50,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,0
147,Home,None,Sunny,80,6PM,CoffeeHouse,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,0,0,0,0
148,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,1,0,0
149,Work,None,Sunny,55,7AM,Bar,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,1,0,0
150,Work,None,Sunny,80,7AM,Restaurant20To50,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,0
151,Work,None,Sunny,80,7AM,CarryAway,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,0,0,1,0
152,Work,None,Sunny,55,7AM,RestaurantLessThan20,24.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,0,0,0,1
153,Work,None,Sunny,55,7AM,CoffeeHouse,2.0,Female,26.0,Married,1,Some College,Unemployed,68749.5,0.0,0.0,8.0,6.0,0.0,1,1,0,0,0
154,Nowhere,None,Sunny,55,2PM,RestaurantLessThan20,24.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,0,0,0,1
155,Nowhere,Friend,Sunny,80,10AM,CoffeeHouse,2.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,0,0,0,0
156,Nowhere,Friend,Sunny,80,10AM,Bar,24.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,0,0,0,1
157,Nowhere,Friend,Sunny,80,10AM,CarryAway,2.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,1,0,0,0
158,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,0,0,0,1
159,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,2.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,1,0,0,0
160,Nowhere,Friend,Sunny,80,2PM,CoffeeHouse,24.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,1,0,0,1
161,Nowhere,Friend,Sunny,80,2PM,RestaurantLessThan20,24.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,1,0,0,1
162,Nowhere,Friend,Sunny,80,6PM,CoffeeHouse,2.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,0,0,0,0
163,Nowhere,Friend,Sunny,80,6PM,RestaurantLessThan20,2.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,1,0,0,0
164,Nowhere,Friend,Sunny,55,2PM,CoffeeHouse,2.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,0,0,0,0
165,Nowhere,Friend,Sunny,55,2PM,CarryAway,24.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,1,0,0,1
166,Nowhere,None,Sunny,55,10AM,CoffeeHouse,2.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,0,0,0,0
167,Home,None,Sunny,55,6PM,Bar,24.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,0,0,1,1
168,Home,None,Sunny,55,6PM,Restaurant20To50,24.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,1,0,0,1
169,Home,None,Sunny,80,6PM,CoffeeHouse,2.0,Male,26.0,Single,0,Some College,Healthcare Support,43749.5,8.0,8.0,8.0,8.0,8.0,1,0,0,0,0
